domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
vrgooienvechtstreek.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
vrgooienvechtstreek.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,MX,10 d318578.a.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,MX,20 d318578.b.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
tomingroep.nl,SPF include,bounced.nl,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,servers.mcsv.net,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,spf.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
tomingroep.nl,SPF include,spf.spamcluster.nl,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,spf.sqr.nl,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,SPF include,spf.topdesk.net,TOPdesk,servicedesk/SaaS,Nederlandse leverancier,ja
tomingroep.nl,SPF include,spf.tracksoftware.nl,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,External script,admin.bitninja.io,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,External script,recaptcha.net,Onbekend,onbekend,Onbekend,ja
tomingroep.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
tomingroep.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
tomingroep.nl,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
dekringloper.nl,MX,10 d318582.a.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,MX,20 d318582.b.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
dekringloper.nl,SPF include,_spf.kprs.online,Onbekend,onbekend,Onbekend,ja
